agid,name,rank,station,unit,district,subDivision,landline,mobile,email,searchBlob
KSP3133,Addl. SP Dakshina Kannada,Addl. SP,Dakshina Kannada,L&O,Dakshina Kannada,,0824-2220505,9480805302,addlspmaq@ksp.gov.in,addl. sp dakshina kannada addl. sp dakshina kannada l&o 0824-2220505 9480805302 addlspmaq@ksp.gov.in
KSP3134,Addl. SP PI FPB MANGALURU DIST,Addl. SP,PI FPB MANGALURU DIST,FPB,Mangaluru,,080-2220513,9480805310,,addl. sp pi fpb mangaluru dist addl. sp pi fpb mangaluru dist fpb mangaluru 080-2220513 9480805310
KSP3135,Dist. C/Room,,Dist. C/Room,C/Room,Dakshina Kannada,,,9480805300,dcckm@ksp.gov.in,dist. c/room c/room dakshina kannada 9480805300 dcckm@ksp.gov.in
KSP3136,PI(W) D.K Dist.,PI (W),D.K Dist.,L&O,Dakshina Kannada,,,9480800941,,pi(w) d.k dist. pi (w) d.k dist. l&o dakshina kannada 9480800941
KSP3137,PI CSP,PI,PI CSP Mangaluru,CSP,Dakshina Kannada,,0824-2451302,9480800574,,pi csp pi pi csp mangaluru csp dakshina kannada 0824-2451302 9480800574
KSP3138,CYBER CRIME,,CYBER CRIME PS,CEN,Bengaluru City,,,9480805308,dcbmaq@ksp.gov.in,cyber crime cyber crime ps cen bengaluru city 9480805308 dcbmaq@ksp.gov.in
KSP3139,DySP Puttur,DySP,Puttur,L&O,Dakshina Kannada,,,9480805321,sdpoputturmaq@ksp.gov.in,dysp puttur dysp puttur l&o dakshina kannada 9480805321 sdpoputturmaq@ksp.gov.in
KSP3140,PI WOMEN,PI,WOMEN PS,L&O,Dakshina Kannada,,,8277986370,womenpsrcr@ksp.gov.in,pi women pi women ps l&o dakshina kannada 8277986370 womenpsrcr@ksp.gov.in
KSP3141,PSI WOMEN,PSI,WOMEN PS,L&O,Dakshina Kannada,,,8277986373,womenydr@ksp.gov.in,psi women psi women ps l&o dakshina kannada 8277986373 womenydr@ksp.gov.in
KSP3142,PI PUTTUR TOWN,PI,PUTTUR TOWN PS,L&O,Dakshina Kannada,,,9480805361,putturtownmaq@ksp.gov.in,pi puttur town pi puttur town ps l&o dakshina kannada 9480805361 putturtownmaq@ksp.gov.in
KSP3143,PSI PUTTUR TRAFFIC,PSI,PUTTUR TRAFFIC PS,Traffic,Dakshina Kannada,,,8277986612,putturtrafficmaq@ksp.gov.in,psi puttur traffic psi puttur traffic ps traffic dakshina kannada 8277986612 putturtrafficmaq@ksp.gov.in
KSP3144,PI PUTTUR (R),PI,PUTTUR (R) PS,L&O,Dakshina Kannada,,,9480805363,putturruralmaq@ksp.gov.in,pi puttur (r) pi puttur (r) ps l&o dakshina kannada 9480805363 putturruralmaq@ksp.gov.in
KSP3145,PSI PUTTUR (R),PSI,PUTTUR (R) PS,L&O,Dakshina Kannada,,,8277986539,,psi puttur (r) psi puttur (r) ps l&o dakshina kannada 8277986539
KSP3146,CPI Puttur (R) Circle,CPI,Puttur (R) Circle,L&O,Dakshina Kannada,,,9480805333,cpiputturruralmaq@ksp.gov.in,cpi puttur (r) circle cpi puttur (r) circle l&o dakshina kannada 9480805333 cpiputturruralmaq@ksp.gov.in
KSP3147,PSI UPPINANGADI,PSI,UPPINANGADI PS,L&O,Dakshina Kannada,,,9480805362,uppinangadymaq@ksp.gov.in,psi uppinangadi psi uppinangadi ps l&o dakshina kannada 9480805362 uppinangadymaq@ksp.gov.in
KSP3148,PSI KADABA,PSI,KADABA PS,L&O,Dakshina Kannada,,,9480805364,kadabamaq@ksp.gov.in,psi kadaba psi kadaba ps l&o dakshina kannada 9480805364 kadabamaq@ksp.gov.in
KSP3149,CPI Sullia Circle,CPI,Sullia Circle,L&O,Dakshina Kannada,,,9480805334,cpisulliamaq@ksp.gov.in,cpi sullia circle cpi sullia circle l&o dakshina kannada 9480805334 cpisulliamaq@ksp.gov.in
KSP3150,PSI-1 SULLIA,PSI-1,SULLIA PS,L&O,Dakshina Kannada,,,9480805365,sulliamaq@ksp.gov.in,psi-1 sullia psi-1 sullia ps l&o dakshina kannada 9480805365 sulliamaq@ksp.gov.in
KSP3151,PSI SUBRAMANYA,PSI,SUBRAMANYA PS,L&O,Dakshina Kannada,,,9480805366,subramanyamaq@ksp.gov.in,psi subramanya psi subramanya ps l&o dakshina kannada 9480805366 subramanyamaq@ksp.gov.in
KSP3152,PSI Bellare,PSI,Bellare,L&O,Dakshina Kannada,,,8277986452,bellaremaq@ksp.gov.in,psi bellare psi bellare l&o dakshina kannada 8277986452 bellaremaq@ksp.gov.in
KSP3153,ASP DSP Bantwala,ASP,DSP Bantwala,L&O,Dakshina Kannada,,,9480805309,sdpobantawalamaq@ksp.gov.in,asp dsp bantwala asp dsp bantwala l&o dakshina kannada 9480805309 sdpobantawalamaq@ksp.gov.in
KSP3154,PI BANTWALA (R),PI,BANTWALA (R) PS,L&O,Dakshina Kannada,,,9480805335,cpibantwalamaq@ksp.gov.in,pi bantwala (r) pi bantwala (r) ps l&o dakshina kannada 9480805335 cpibantwalamaq@ksp.gov.in
KSP3155,PSI BANTWALA (R),PSI,BANTWALA (R) PS,L&O,Dakshina Kannada,,,9480805368,bantwalaruralmaq@ksp.gov.in,psi bantwala (r) psi bantwala (r) ps l&o dakshina kannada 9480805368 bantwalaruralmaq@ksp.gov.in
KSP3156,PI BANTWALA (T),PI,BANTWALA (T) PS,L&O,Dakshina Kannada,,,9480805367,bantwalatownmaq@ksp.gov.in,pi bantwala (t) pi bantwala (t) ps l&o dakshina kannada 9480805367 bantwalatownmaq@ksp.gov.in
KSP3157,PSI BANTWAL (T),PSI,BANTWAL (T) PS,L&O,Dakshina Kannada,,,8277986225,,psi bantwal (t) psi bantwal (t) ps l&o dakshina kannada 8277986225
KSP3158,PSI BANTWALA TRAFFIC,PSI,BANTWALA TRAFFIC PS,Traffic,Dakshina Kannada,,,8277986631,bantwalatrafficmaq@ksp.gov.in,psi bantwala traffic psi bantwala traffic ps traffic dakshina kannada 8277986631 bantwalatrafficmaq@ksp.gov.in
KSP3159,PI VITTLA,PI,VITTLA PS,L&O,Dakshina Kannada,,,9480805369,vittalmaq@ksp.gov.in,pi vittla pi vittla ps l&o dakshina kannada 9480805369 vittalmaq@ksp.gov.in
KSP3160,CPI Belthangadi Circle,CPI,Belthangadi Circle,L&O,Dakshina Kannada,,,9480805336,cpibelthangadymaq@ksp.gov.in,cpi belthangadi circle cpi belthangadi circle l&o dakshina kannada 9480805336 cpibelthangadymaq@ksp.gov.in
KSP3161,PSI PUNJALAKATTE,PSI,PUNJALAKATTE PS,L&O,Dakshina Kannada,,,8277986416,pkattemaq@ksp.gov.in,psi punjalakatte psi punjalakatte ps l&o dakshina kannada 8277986416 pkattemaq@ksp.gov.in
KSP3162,PSI VENOOR,PSI,VENOOR PS,L&O,Dakshina Kannada,,,9480805372,venoormaq@ksp.gov.in,psi venoor psi venoor ps l&o dakshina kannada 9480805372 venoormaq@ksp.gov.in
KSP3163,PSI-1 DHARMASTALA,PSI-1,DHARMASTALA PS,L&O,Dakshina Kannada,,,8277986447,dharmasthalamaq@ksp.gov.in,psi-1 dharmastala psi-1 dharmastala ps l&o dakshina kannada 8277986447 dharmasthalamaq@ksp.gov.in
KSP3164,PI BELTHANGADI,PI,BELTHANGADI PS,L&O,Dakshina Kannada,,,9480805370,belthangadymaq@ksp.gov.in,pi belthangadi pi belthangadi ps l&o dakshina kannada 9480805370 belthangadymaq@ksp.gov.in
KSP3165,PSI BELTHANGADI,PSI,BELTHANGADI PS,L&O,Dakshina Kannada,,,8277986367,,psi belthangadi psi belthangadi ps l&o dakshina kannada 8277986367
KSP3166,PSI-1 BELTHANGADI TRAFFIC,PSI-1,BELTHANGADI TRAFFIC PS,Traffic,Dakshina Kannada,,,8277986304,belthangadytrafficmaq@ksp.gov.in,psi-1 belthangadi traffic psi-1 belthangadi traffic ps traffic dakshina kannada 8277986304 belthangadytrafficmaq@ksp.gov.in
KSP3167,AAO,AAO,,Range HQ,Dakshina Kannada,,,,aaomaq@ksp.gov.in,aao range hq dakshina kannada aaomaq@ksp.gov.in
KSP3168,PI DSB,PI,DSB,DSB,Dakshina Kannada,,,9480805307,dsbrrcr@ksp.gov.in,pi dsb pi dsb dakshina kannada 9480805307 dsbrrcr@ksp.gov.in
KSP3169,RPI MTO,RPI,MTO,CAR,Dakshina Kannada,,,9480805306,mtodargba@ksp.gov.in,rpi mto rpi mto car dakshina kannada 9480805306 mtodargba@ksp.gov.in
KSP3170,PI Railway,PI,Railway Mangaluru,Railways,Mangaluru,,080-2220559,9480800470,mangalorerly@ksp.gov.in,pi railway pi railway mangaluru railways mangaluru 080-2220559 9480800470 mangalorerly@ksp.gov.in
KSP3171,F.S.L,,F.S.L,FSL,Mangaluru City,,0824-2220564,,rfslmaq@ksp.gov.in,f.s.l fsl mangaluru city 0824-2220564 rfslmaq@ksp.gov.in
KSP3172,PSI DCRB,PSI,DCRB,DCRB,Udupi,,,8277986419,dcrb1gba@ksp.gov.in,psi dcrb psi dcrb udupi 8277986419 dcrb1gba@ksp.gov.in
KSP3173,SP Uttara Kannada,SP,Uttara Kannada,L&O,Uttara Kannada,,,08382-226233,spkwr@ksp.gov.in,sp uttara kannada sp uttara kannada l&o 08382-226233 spkwr@ksp.gov.in
KSP3174,Addl. SP Uttara Kannada,Addl. SP,Uttara Kannada,L&O,Uttara Kannada,,,08382-227536,addlspkwr@ksp.gov.in,addl. sp uttara kannada addl. sp uttara kannada l&o 08382-227536 addlspkwr@ksp.gov.in
KSP3175,Addl. SP Uttara Kannada,Addl. SP,Uttara Kannada,L&O,Uttara Kannada,,,9480805209,,addl. sp uttara kannada addl. sp uttara kannada l&o 9480805209
KSP3176,PSI FPB KARWAR,PSI,PSI FPB KARWAR,FPB,UNKNOWN,,,08382-226550,dckwr@ksp.gov.in,psi fpb karwar psi fpb unknown 08382-226550 dckwr@ksp.gov.in
KSP3177,PI(W),PI (W),,L&O,Dakshina Kannada,,,9480800944,,pi(w) pi (w) l&o dakshina kannada 9480800944
KSP3178,DySP MANGALURU RURAL,DySP,MANGALURU RURAL PS,L&O,Mangaluru City,,,9480805220,sdpokwr@ksp.gov.in,dysp mangaluru rural dysp mangaluru rural ps l&o mangaluru city 9480805220 sdpokwr@ksp.gov.in
KSP3179,PI WOMEN,PI,WOMEN PS,L&O,Uttara Kannada,,,,womenpsrcr@ksp.gov.in,pi women pi women ps l&o uttara kannada womenpsrcr@ksp.gov.in
KSP3180,PI ANKOLA,PI,ANKOLA PS,L&O,Uttara Kannada,,,9480805267,cencrimepskwr@ksp.gov.in,pi ankola pi ankola ps l&o uttara kannada 9480805267 cencrimepskwr@ksp.gov.in
KSP3181,PI KARWAR TOWN,PI,KARWAR TOWN PS,L&O,Uttara Kannada,,,9480805230,cpikwr@ksp.gov.in,pi karwar town pi karwar town ps l&o uttara kannada 9480805230 cpikwr@ksp.gov.in
KSP3182,PSI KARWAR TOWN,PSI,KARWAR TOWN PS,L&O,Uttara Kannada,,,9480805245,traffickwr@ksp.gov.in,psi karwar town psi karwar town ps l&o uttara kannada 9480805245 traffickwr@ksp.gov.in
KSP3183,PSI KARWAR TOWN,PSI,KARWAR TOWN PS,L&O,Uttara Kannada,,,9480805247,traffickwr@ksp.gov.in,psi karwar town psi karwar town ps l&o uttara kannada 9480805247 traffickwr@ksp.gov.in
KSP3184,PI Karwar (R),PI,Karwar (R) PS,L&O,Dakshina Kannada,,,9480805262,ruralkwr@ksp.gov.in,pi karwar (r) pi karwar (r) ps l&o dakshina kannada 9480805262 ruralkwr@ksp.gov.in
KSP3185,PSI Karwar (R),PSI,Karwar (R) PS,L&O,Dakshina Kannada,,,8277987541,,psi karwar (r) psi karwar (r) ps l&o dakshina kannada 8277987541
KSP3186,CPI Kadra Circle,CPI,Kadra Circle,L&O,Dakshina Kannada,,,9480805231,cpikadrakwr@ksp.gov.in,cpi kadra circle cpi kadra circle l&o dakshina kannada 9480805231 cpikadrakwr@ksp.gov.in
KSP3187,PSI Kadra,PSI,Kadra PS,L&O,Dakshina Kannada,,,9480805276,kadrakwr@ksp.gov.in,psi kadra psi kadra ps l&o dakshina kannada 9480805276 kadrakwr@ksp.gov.in
KSP3188,PSI CHITTAKULA,PSI,CHITTAKULA PS,L&O,Uttara Kannada,,,9480805249,mallapurkwr@ksp.gov.in,psi chittakula psi chittakula ps l&o uttara kannada 9480805249 mallapurkwr@ksp.gov.in
KSP3189,PSI KARWAR RURAL,PSI,KARWAR RURAL PS,L&O,Uttara Kannada,,,9480805248,chittakulakwr@ksp.gov.in,psi karwar rural psi karwar rural ps l&o uttara kannada 9480805248 chittakulakwr@ksp.gov.in
KSP3190,PI MALLAPUR,PI,MALLAPUR PS,L&O,Uttara Kannada,,,9480805250,ankolakwr@ksp.gov.in,pi mallapur pi mallapur ps l&o uttara kannada 9480805250 ankolakwr@ksp.gov.in
KSP3191,PSI-1 Ankola,PSI-1,Ankola PS,L&O,Dakshina Kannada,,,9480805268,ankolakwr@ksp.gov.in,psi-1 ankola psi-1 ankola ps l&o dakshina kannada 9480805268 ankolakwr@ksp.gov.in
KSP3192,DySP Bhatkal,DySP,Bhatkal,L&O,Uttara Kannada,,,08385-226413,sdpobhatkalkwr@ksp.gov.in,dysp bhatkal dysp bhatkal l&o uttara kannada 08385-226413 sdpobhatkalkwr@ksp.gov.in
KSP3193,Police Radio Station (PRS) Bhatkal,,Police Radio Station (PRS) Bhatkal,PRS,Uttara Kannada,,,,,police radio station (prs) bhatkal prs uttara kannada
KSP3194,PI BHATKAL (T),PI,BHATKAL (T) PS,L&O,Uttara Kannada,,,9480805269,bhatkaltownkwr@ksp.gov.in,pi bhatkal (t) pi bhatkal (t) ps l&o uttara kannada 9480805269 bhatkaltownkwr@ksp.gov.in
KSP3195,PSI BHATKAL (T),PSI,BHATKAL (T) PS,L&O,Uttara Kannada,,,8277987570,,psi bhatkal (t) psi bhatkal (t) ps l&o uttara kannada 8277987570
KSP3196,PI BHATKAL (R),PI,BHATKAL (R) PS,L&O,Uttara Kannada,,,9480805252,bhatkalruralkwr@ksp.gov.in,pi bhatkal (r) pi bhatkal (r) ps l&o uttara kannada 9480805252 bhatkalruralkwr@ksp.gov.in
KSP3197,PSI BHATKAL (R),PSI,BHATKAL (R) PS,L&O,Uttara Kannada,,,8277987574,,psi bhatkal (r) psi bhatkal (r) ps l&o uttara kannada 8277987574
KSP3198,PI Honnavar Circle,PI,Honnavar Circle,L&O,Uttara Kannada,,,9480805233,cpihonnavarkwr@ksp.gov.in,pi honnavar circle pi honnavar circle l&o uttara kannada 9480805233 cpihonnavarkwr@ksp.gov.in
KSP3199,PSI HONNAVAR,PSI,HONNAVAR PS,L&O,Uttara Kannada,,,9480805270,honnavarkwr@ksp.gov.in,psi honnavar psi honnavar ps l&o uttara kannada 9480805270 honnavarkwr@ksp.gov.in
KSP3200,PI KUMTA,PI,KUMTA PS,L&O,Uttara Kannada,,,9480805234,cpikumtakwr@ksp.gov.in,pi kumta pi kumta ps l&o uttara kannada 9480805234 cpikumtakwr@ksp.gov.in
KSP3201,PSI KUMTA,PSI,KUMTA PS,L&O,Uttara Kannada,,,9480805272,kumtakwr@ksp.gov.in,psi kumta psi kumta ps l&o uttara kannada 9480805272 kumtakwr@ksp.gov.in
KSP3202,PI GOKARNA,PI,GOKARNA PS,L&O,Uttara Kannada,,,9480805251,gokarnkwr@ksp.gov.in,pi gokarna pi gokarna ps l&o uttara kannada 9480805251 gokarnkwr@ksp.gov.in
KSP3203,PSI GOKARNA,PSI,GOKARNA PS,L&O,Uttara Kannada,,,8277988251,,psi gokarna psi gokarna ps l&o uttara kannada 8277988251
KSP3204,CPI Bhatkal Rural Circle,CPI,Bhatkal Rural Circle,L&O,Uttara Kannada,,,9480805232,cpibhatkalkwr@ksp.gov.in,cpi bhatkal rural circle cpi bhatkal rural circle l&o uttara kannada 9480805232 cpibhatkalkwr@ksp.gov.in
KSP3205,PSI-1 MURDESHWAR,PSI-1,MURDESHWAR PS,L&O,Uttara Kannada,,,9480805253,murdeshwarkwr@ksp.gov.in,psi-1 murdeshwar psi-1 murdeshwar ps l&o uttara kannada 9480805253 murdeshwarkwr@ksp.gov.in
KSP3206,PSI-1 MANKI,PSI-1,MANKI PS,L&O,Uttara Kannada,,,08387-257886,mankikwr@ksp.gov.in,psi-1 manki psi-1 manki ps l&o uttara kannada 08387-257886 mankikwr@ksp.gov.in
KSP3207,DySP Sirsi,DySP,Sirsi,L&O,Uttara Kannada,,,9480805222,sdposirsikwr@ksp.gov.in,dysp sirsi dysp sirsi l&o uttara kannada 9480805222 sdposirsikwr@ksp.gov.in
KSP3208,PRS Sirsi,,PRS Sirsi,PRS,Uttara Kannada,,,7259815100,,prs sirsi prs uttara kannada 7259815100
KSP3209,CPI Sirsi Circle,CPI,Sirsi Circle,L&O,Uttara Kannada,,,9480805238,cpisirasikwr@ksp.gov.in,cpi sirsi circle cpi sirsi circle l&o uttara kannada 9480805238 cpisirasikwr@ksp.gov.in
KSP3210,PSI-1 SIRSI (T),PSI-1,SIRSI (T) PS,L&O,Uttara Kannada,,,9480805264,sirsitownkwr@ksp.gov.in,psi-1 sirsi (t) psi-1 sirsi (t) ps l&o uttara kannada 9480805264 sirsitownkwr@ksp.gov.in
KSP3211,PSI-1 SIRSI NEW MARKET,PSI-1,SIRSI NEW MARKET PS,L&O,Uttara Kannada,,,9480805255,sirsinewmarketkwr@ksp.gov.in,psi-1 sirsi new market psi-1 sirsi new market ps l&o uttara kannada 9480805255 sirsinewmarketkwr@ksp.gov.in
KSP3212,PSI-1 BANAVPS,PSI-1,BANAVPS,L&O,Uttara Kannada,,,9480805246,banavasikwr@ksp.gov.in,psi-1 banavps psi-1 banavps l&o uttara kannada 9480805246 banavasikwr@ksp.gov.in
KSP3213,PSI Sirsi Traffic,PSI,Sirsi Traffic PS,L&O,Dakshina Kannada,,,8277988585,sirsitraffickwr@ksp.gov.in,psi sirsi traffic psi sirsi traffic ps l&o dakshina kannada 8277988585 sirsitraffickwr@ksp.gov.in
KSP3214,PI SIRSI (R),PI,SIRSI (R) PS,L&O,Uttara Kannada,,,9480805254,sirsiruralkwr@ksp.gov.in,pi sirsi (r) pi sirsi (r) ps l&o uttara kannada 9480805254 sirsiruralkwr@ksp.gov.in
KSP3215,PSI SIRSI (R),PSI,SIRSI (R) PS,L&O,Uttara Kannada,,,8277988263,,psi sirsi (r) psi sirsi (r) ps l&o uttara kannada 8277988263
KSP3216,PI YELLAPUR,PI,YELLAPUR PS,L&O,Uttara Kannada,,,9480805257,yellapurkwr@ksp.gov.in,pi yellapur pi yellapur ps l&o uttara kannada 9480805257 yellapurkwr@ksp.gov.in
KSP3217,PSI-1 YELLAPUR,PSI-1,YELLAPUR PS,L&O,Uttara Kannada,,,9480805273,,psi-1 yellapur psi-1 yellapur ps l&o uttara kannada 9480805273
KSP3218,PI SIDDAPUR,PI,SIDDAPUR PS,L&O,Uttara Kannada,,,9480805256,siddapurkwr@ksp.gov.in,pi siddapur pi siddapur ps l&o uttara kannada 9480805256 siddapurkwr@ksp.gov.in
KSP3219,PSI SIDDAPUR,PSI,SIDDAPUR PS,L&O,Uttara Kannada,,,9480805271,,psi siddapur psi siddapur ps l&o uttara kannada 9480805271
KSP3220,PI MUNDGOD,PI,MUNDGOD PS,L&O,Uttara Kannada,,,9480805258,mundgodkwr@ksp.gov.in,pi mundgod pi mundgod ps l&o uttara kannada 9480805258 mundgodkwr@ksp.gov.in
KSP3221,PSI MUNDGOD,PSI,MUNDGOD PS,L&O,Uttara Kannada,,,9480805275,,psi mundgod psi mundgod ps l&o uttara kannada 9480805275
KSP3222,DySP Dandeli,DySP,Dandeli,L&O,Uttara Kannada,,,9480805223,sdpodandelikwr@ksp.gov.in,dysp dandeli dysp dandeli l&o uttara kannada 9480805223 sdpodandelikwr@ksp.gov.in
KSP3223,Haliyal PRS,,Haliyal PRS,PRS,Uttara Kannada,,,,,haliyal prs prs uttara kannada
KSP3224,CPI Dandeli Circle,CPI,Dandeli Circle,L&O,Uttara Kannada,,,9480805235,cpidandelikwr@ksp.gov.in,cpi dandeli circle cpi dandeli circle l&o uttara kannada 9480805235 cpidandelikwr@ksp.gov.in
KSP3225,PSI-1 DANDELI (T),PSI-1,DANDELI (T) PS,L&O,Uttara Kannada,,,9480805274,dandelitownkwr@ksp.gov.in,psi-1 dandeli (t) psi-1 dandeli (t) ps l&o uttara kannada 9480805274 dandelitownkwr@ksp.gov.in
KSP3226,PSI DANDELI (R),PSI,DANDELI (R) PS,L&O,Uttara Kannada,,,9480805259,dandeliruralkwr@ksp.gov.in,psi dandeli (r) psi dandeli (r) ps l&o uttara kannada 9480805259 dandeliruralkwr@ksp.gov.in
KSP3227,CPI Haliyal Circle,CPI,Haliyal Circle,L&O,Uttara Kannada,,,9480805236,cpihaliyalkwr@ksp.gov.in,cpi haliyal circle cpi haliyal circle l&o uttara kannada 9480805236 cpihaliyalkwr@ksp.gov.in
KSP3228,PSI HALIYAL,PSI,HALIYAL PS,L&O,Uttara Kannada,,,9480805265,haliyalkwr@ksp.gov.in,psi haliyal psi haliyal ps l&o uttara kannada 9480805265 haliyalkwr@ksp.gov.in
KSP3229,PSI AMBIKANAGAR,PSI,AMBIKANAGAR PS,L&O,Uttara Kannada,,,9480805260,ambikanagarkwr@ksp.gov.in,psi ambikanagar psi ambikanagar ps l&o uttara kannada 9480805260 ambikanagarkwr@ksp.gov.in
KSP3230,CPI Joida Circle,CPI,Joida Circle,L&O,Uttara Kannada,,,9480805237,cpijoidakwr@ksp.gov.in,cpi joida circle cpi joida circle l&o uttara kannada 9480805237 cpijoidakwr@ksp.gov.in
KSP3231,PSI JOIDA,PSI,JOIDA PS,L&O,Uttara Kannada,,,9480805266,joidakwr@ksp.gov.in,psi joida psi joida ps l&o uttara kannada 9480805266 joidakwr@ksp.gov.in
KSP3232,PSI RAMNAGAR,PSI,RAMNAGAR PS,L&O,Uttara Kannada,,,9480805261,ramnagarkwr@ksp.gov.in,psi ramnagar psi ramnagar ps l&o uttara kannada 9480805261 ramnagarkwr@ksp.gov.in
KSP3233,AAO,AAO,,Range HQ,Dakshina Kannada,,,,,aao range hq dakshina kannada
KSP3234,PI CSP Karwar,PI,CSP Karwar,CSP,Uttara Kannada,,,08382-220600,,pi csp karwar pi csp karwar csp uttara kannada 08382-220600
KSP3235,PI CSP Kumta,PI,CSP Kumta,CSP,Uttara Kannada,,,08386-222533,,pi csp kumta pi csp kumta csp uttara kannada 08386-222533
KSP3236,PI CSP Bhatkal,PI,CSP Bhatkal,CSP,Uttara Kannada,,,08385-222557,,pi csp bhatkal pi csp bhatkal csp uttara kannada 08385-222557
KSP3237,PI CSP Honnavar,PI,CSP Honnavar,CSP,Uttara Kannada,,,08387-221202,,pi csp honnavar pi csp honnavar csp uttara kannada 08387-221202
KSP3238,PI CSP Belekeri,PI,CSP Belekeri,CSP,Uttara Kannada,,,08388-282243,,pi csp belekeri pi csp belekeri csp uttara kannada 08388-282243
KSP3239,DySP DAR,DySP,DAR,DAR,Uttara Kannada,,,9480805206,dspdarblr@ksp.gov.in,dysp dar dysp dar uttara kannada 9480805206 dspdarblr@ksp.gov.in
KSP3240,RPI DAR,RPI,DAR,DAR,Uttara Kannada,,,9480805210,darvjn@ksp.gov.in,rpi dar rpi dar uttara kannada 9480805210 darvjn@ksp.gov.in
KSP3241,PI DSB,PI,DSB,DSB,Uttara Kannada,,,9480805207,dsbrrcr@ksp.gov.in,pi dsb pi dsb uttara kannada 9480805207 dsbrrcr@ksp.gov.in
KSP3242,PI ISD,PI,ISD,ISD,Uttara Kannada,,,9480800709,piisdrcr@ksp.gov.in,pi isd pi isd uttara kannada 9480800709 piisdrcr@ksp.gov.in
KSP3243,PI WOMEN,PI,WOMEN PS,L&O,Uttara Kannada,,,9480805208,womenpsrcr@ksp.gov.in,pi women pi women ps l&o uttara kannada 9480805208 womenpsrcr@ksp.gov.in
KSP3244,PI (AD) Intelligence,PI,(AD) Intelligence,HQ,Uttara Kannada,,,,,pi (ad) intelligence pi (ad) intelligence hq uttara kannada
KSP3245,Women Helpline,,Women Helpline,L&O,Dakshina Kannada,,,,,women helpline l&o dakshina kannada
KSP3246,Homeguard,,Homeguard,Home Guard,Ramanagara,,,08382-226361,,homeguard home guard ramanagara 08382-226361
KSP3247,DySP Lokayuktha,DySP,Lokayuktha,KLA,Uttara Kannada,,,,,dysp lokayuktha dysp lokayuktha kla uttara kannada
KSP3248,DySP Intelligence,DySP,Intelligence,HQ,Uttara Kannada,,,9449878618,,dysp intelligence dysp intelligence hq uttara kannada 9449878618
KSP3249,PSI DCRB,PSI,DCRB,DCRB,Udupi,,,8277987461,dcrb1gba@ksp.gov.in,psi dcrb psi dcrb udupi 8277987461 dcrb1gba@ksp.gov.in
KSP3250,SP Udupi,SP,Udupi,L&O,Udupi,,0820-2534777,9480805401,spudp@ksp.gov.in,sp udupi sp udupi l&o 0820-2534777 9480805401 spudp@ksp.gov.in
KSP3251,Addl. SP Udupi,Addl. SP,Udupi,L&O,Udupi,,0820-2522895,9480805402,addlspudp@ksp.gov.in,addl. sp udupi addl. sp udupi l&o 0820-2522895 9480805402 addlspudp@ksp.gov.in
KSP3252,Addl. SP Udupi,Addl. SP,Udupi,L&O,Udupi,,,9480805409,addlsp2udp@ksp.gov.in,addl. sp udupi addl. sp udupi l&o 9480805409 addlsp2udp@ksp.gov.in
KSP3253,Dist. C/Room,,Dist. C/Room,C/Room,Dakshina Kannada,,,9480805400,dcckm@ksp.gov.in,dist. c/room c/room dakshina kannada 9480805400 dcckm@ksp.gov.in
KSP3254,PI(W) PI Wireless,PI (W),PI Wireless,Wireless,Udupi,,,9480800942,pcrvjn@gmail.com,pi(w) pi wireless pi (w) pi wireless wireless udupi 9480800942 pcrvjn@gmail.com
KSP3255,DySP Udupi,DySP,Udupi,L&O,Udupi,,0820-2521257,9480805420,sdpoudp@ksp.gov.in,dysp udupi dysp udupi l&o 0820-2521257 9480805420 sdpoudp@ksp.gov.in
KSP3256,PI WOMEN,PI,WOMEN PS,L&O,Udupi,,,9480805458,womenpsrcr@ksp.gov.in,pi women pi women ps l&o udupi 9480805458 womenpsrcr@ksp.gov.in
KSP3257,PSI-01 WOMEN,PSI-01,WOMEN PS,L&O,Udupi,,0820-2525599,8277988949,womenpsudp@ksp.gov.in,psi-01 women psi-01 women ps l&o udupi 0820-2525599 8277988949 womenpsudp@ksp.gov.in
KSP3258,PSI-02 Women,PSI-02,Women PS,L&O,Dakshina Kannada,,0824-2525599,8277988950,womenpsudp@ksp.gov.in,psi-02 women psi-02 women ps l&o dakshina kannada 0824-2525599 8277988950 womenpsudp@ksp.gov.in
KSP3259,DySP CEN,DySP,CEN PS,CEN,Udupi,,,8277988955,cybercrimeblr@ksp.gov.in,dysp cen dysp cen ps cen udupi 8277988955 cybercrimeblr@ksp.gov.in
KSP3260,PI CEN,PI,CEN PS,CEN,Udupi,,,9480805410,cenpsrcr@ksp.gov.in,pi cen pi cen ps cen udupi 9480805410 cenpsrcr@ksp.gov.in
KSP3261,CPI Malpe Circle,CPI,Malpe Circle,L&O,Udupi,,0820-2520329,9480805430,cpiudupitownudp@ksp.gov.in,cpi malpe circle cpi malpe circle l&o udupi 0820-2520329 9480805430 cpiudupitownudp@ksp.gov.in
KSP3262,PSI-1 MALPE,PSI-1,MALPE PS,L&O,Udupi,,0820-2537999,9480805447,malpeudp@ksp.gov.in,psi-1 malpe psi-1 malpe ps l&o udupi 0820-2537999 9480805447 malpeudp@ksp.gov.in
